bar_id,bar_pub_name,borough,building,address,zip,phone,latitude,longitude,score,grade,grade_dt,yelp_image_url,yelp_url,yelp_rating,yelp_price,day_0_hours_start,day_0_hours_end,day_1_hours_start,day_1_hours_end,day_2_hours_start,day_2_hours_end,day_3_hours_start,day_3_hours_end,day_4_hours_start,day_4_hours_end,day_5_hours_start,day_5_hours_end,day_6_hours_start,day_6_hours_end
bar_id,bar_pub_name,borough,building,address,zip,phone,latitude,longitude,score,grade,grade_dt,yelp_image_url,yelp_url,yelp_rating,yelp_price,day_0_hours_start,day_0_hours_end,day_1_hours_start,day_1_hours_end,day_2_hours_start,day_2_hours_end,day_3_hours_start,day_3_hours_end,day_4_hours_start,day_4_hours_end,day_5_hours_start,day_5_hours_end,day_6_hours_start,day_6_hours_end,rnk
41542713,ACCENT RESTAURANT & BAR,Manhattan,429,3 AVENUE,10016,9177508470,40.74310254,-73.98001807,13,A,2019-10-02,https://s3-media3.fl.yelpcdn.com/bphoto/yeMC-5m1MBmss6i-g-CbqA/o.jpg,https://www.yelp.com/biz/accent-restaurant-and-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$$,1700,2200,1000,2200,1000,2200,1000,2245,1000,2300,1030,2300,1100,2200,1
50045850,"SONY HUB, COFFEE BAR",Manhattan,25,MADISON AVENUE,10010,2128337349,40.74203859,-73.98711679,7,A,2022-07-22,https://s3-media3.fl.yelpcdn.com/bphoto/pXEvi5p2CpqRZPj4S5ODnQ/o.jpg,https://www.yelp.com/biz/penny-house-cafe-brooklyn?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$,700,1800,700,1800,700,1800,700,1800,700,1800,700,1800,700,1800,1
50046087,REVLON BAR - BELMONT ROOM @ METROPOLITAN OPERA,Manhattan,NKA,LINCOLN CENTER PLAZA,10023,2127993400,40.77248852,-73.9837532,7,A,2018-11-07,https://s3-media4.fl.yelpcdn.com/bphoto/xMgNNfVLD9RmsTWXpBt20Q/o.jpg,https://www.yelp.com/biz/the-metropolitan-opera-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,,,,,1
41642375,HARLEM FOOD BAR,Manhattan,2100,FREDERICK DOUGLASS BOULEVARD,,2122229570,0.0,0.0,4,A,2019-10-17,https://s3-media3.fl.yelpcdn.com/bphoto/YSPywpIWCHg4rVSOS6mprA/o.jpg,https://www.yelp.com/biz/harlem-food-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,,,1600,2100,1600,2100,1600,2100,1600,2200,1600,2200,1600,2100,1
50006769,Retro Grill & Bar (Holiday Inn),Manhattan,150,DELANCEY STREET,10002,2124752500,40.71796143,-73.98645769,8,A,2019-11-08,https://s3-media4.fl.yelpcdn.com/bphoto/CFOYn3mZ1PlEykK8Wn6eyA/o.jpg,https://www.yelp.com/biz/the-grill-new-york-4?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$$$,1700,2300,1700,2300,1700,2300,1700,2300,1700,2300,1700,2300,,,1
50109016,HUTAOLI MUSIC RESTAURANT & BAR,Manhattan,42,WEST   33 STREET,10001,9172616989,40.74859856,-73.98706138,2,A,2022-01-27,https://s3-media1.fl.yelpcdn.com/bphoto/c9MR2ubOcC-Iq4_AI5lYqg/o.jpg,https://www.yelp.com/biz/hutaoli-music-restaurant-and-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$$,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1100,200,1
50071926,PENNSY BAR,Manhattan,2,PENN PLAZA,10121,6468131818,40.75000977,-73.99134519,0,A,2019-12-24,https://s3-media4.fl.yelpcdn.com/bphoto/pcT-ikdZ65htGgwJQXbLCg/o.jpg,https://www.yelp.com/biz/food-gallery-32-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1100,2300,1
41279614,BLUE RIBBON SUSHI BAR & GRILL,Manhattan,6,COLUMBUS CIRCLE,10019,2123970404,40.7675808,-73.98310819,13,A,2020-02-19,https://s3-media3.fl.yelpcdn.com/bphoto/eWPICkTWKj_vPF9CU1HfJw/o.jpg,https://www.yelp.com/biz/blue-ribbon-sushi-bar-and-grill-columbus-circle-new-york-3?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$$,1200,2300,1200,2300,1200,2300,1200,2300,1200,0,1200,0,1200,2300,1
40383511,BRANDY'S PIANO BAR,Manhattan,235,EAST   84 STREET,10028,2127444949,40.77713558,-73.95406166,12,A,2022-03-10,https://s3-media2.fl.yelpcdn.com/bphoto/_nUnXtnweXSNycA8kKrqBw/o.jpg,https://www.yelp.com/biz/brandys-piano-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1600,400,1600,400,1600,400,1600,400,1600,400,1600,400,1600,400,1
40395079,RUDY'S BAR & Grill,Manhattan,627,9 AVENUE,10036,6467070890,40.75992935,-73.99154604,12,A,2019-03-29,https://s3-media2.fl.yelpcdn.com/bphoto/OC_T5oswfKsAxwN53fGScQ/o.jpg,https://www.yelp.com/biz/rudys-bar-and-grill-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$,1200,400,1200,400,1200,400,1200,400,1200,400,1200,400,1200,400,1
50060083,THE HUDSON BAR ROOM,Manhattan,444,10 AVENUE,10001,6469525980,40.75505496,-73.99878722,5,A,2019-06-06,https://s3-media1.fl.yelpcdn.com/bphoto/MeS5PBrXIZB1KxEEKnDJDw/o.jpg,https://www.yelp.com/biz/hudson-bar-room-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,800,2200,1
41171181,169 BAR,Manhattan,169,EAST BROADWAY,10002,9175772077,40.71407244,-73.9898132,26,Z,2022-07-27,https://s3-media3.fl.yelpcdn.com/bphoto/2Ms4f7JPTY0PqPjkqLi8_w/o.jpg,https://www.yelp.com/biz/169-bar-new-york-4?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$,1130,400,1130,400,1130,400,1130,400,1130,400,1130,400,1130,400,1
40367728,MIMIS RESTAURANT & BAR,Manhattan,984,SECOND AVENUE,10022,2126884692,40.7562169,-73.96752881,5,A,2021-09-01,https://s3-media2.fl.yelpcdn.com/bphoto/lrmAYYGcrQ2NoIPgbrnHHw/o.jpg,https://www.yelp.com/biz/mimis-italian-restaurant-and-piano-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1200,200,1200,200,1200,300,1200,300,1200,300,1300,300,1700,0,1
40401173,BIG BAR,Manhattan,73,EAST    7 STREET,10003,2127776969,40.72739248,-73.98672636,2,A,2021-09-07,https://s3-media3.fl.yelpcdn.com/bphoto/a2jzpOk5B8Y_GRR7zowLkQ/o.jpg,https://www.yelp.com/biz/big-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1700,200,1700,200,1700,200,1700,200,1700,400,1700,400,1700,200,1
50041799,310 BOWERY BAR,Manhattan,310,BOWERY,10012,2124771166,40.72479645,-73.9923731,7,A,2019-06-11,https://s3-media3.fl.yelpcdn.com/bphoto/eq-6aX3eFLZchfDlk8K78A/o.jpg,https://www.yelp.com/biz/310-bowery-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1500,200,1500,200,1500,200,1500,400,1500,400,1200,400,1200,200,1
41690473,ABC BEER CO.,Manhattan,96,AVENUE C,10009,6464227103,40.72375727,-73.97907866,7,A,2020-03-04,https://s3-media3.fl.yelpcdn.com/bphoto/BLdArCTtLlEpUkEueVDw2A/o.jpg,https://www.yelp.com/biz/alphabet-city-beer-company-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$$,1200,0,1200,0,1200,0,1200,0,1200,200,1200,200,1200,0,1
50065904,BARROW STREET ALE HOUSE,Manhattan,15,BARROW STREET,10014,2126910282,40.732622,-74.00269896,9,A,2021-08-24,https://s3-media3.fl.yelpcdn.com/bphoto/gfg0XjkhiQemj4nWt98psw/o.jpg,https://www.yelp.com/biz/barrow-street-ale-house-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.0,$$,1100,1600,1100,1600,1100,1600,1100,1600,1100,1600,1100,1600,1100,1600,1
41250519,MILANO'S BAR,Manhattan,51,EAST HOUSTON STREET,10012,2122268844,40.72476912,-73.99444037,11,A,2019-10-08,https://s3-media1.fl.yelpcdn.com/bphoto/ibsE7himAyc-UqUtwEqPtA/o.jpg,https://www.yelp.com/biz/milanos-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$,1000,400,1000,400,900,400,900,400,1000,400,900,1600,1200,400,1
41449587,CASK BAR & KITCHEN,Manhattan,167,EAST   33 STREET,10016,2123004924,40.74541902,-73.97945799,12,A,2019-09-19,https://s3-media2.fl.yelpcdn.com/bphoto/eZRKDZp7cskMvw9-5hP9Jw/o.jpg,https://www.yelp.com/biz/cask-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1600,200,1600,200,1600,200,1500,300,1500,300,1000,300,1000,200,1
41573992,KAIA WINE BAR,Manhattan,1614,3 AVENUE,10128,2127220490,40.78174861,-73.95185943,12,A,2020-02-13,https://s3-media1.fl.yelpcdn.com/bphoto/J1OiyZpJI-EfMSxr3O341Q/o.jpg,https://www.yelp.com/biz/kaia-wine-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1600,2200,1600,2200,1600,2200,1600,2200,1600,2300,1300,2300,1200,2200,1
50067236,AMERICAN RETRO BAR & GRILL,Manhattan,714,11 AVENUE,10019,2122452203,40.76625344,-73.99433943,7,A,2021-09-03,https://s3-media1.fl.yelpcdn.com/bphoto/ETlDYJNSbZs0wiZirfZJ2g/o.jpg,https://www.yelp.com/biz/american-retro-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1100,200,1100,200,1100,200,1100,200,1100,200,1200,400,1200,200,1
50102079,SEAMORE'S MARKET BAR @ URBANSPACE,Manhattan,152,WEST   52 STREET,10019,6464158652,40.76199773,-73.98156821,2,A,2022-07-27,https://s3-media3.fl.yelpcdn.com/bphoto/eMFzy4eZwnMjT6RrND6wKQ/o.jpg,https://www.yelp.com/biz/urbanspace-new-york-6?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,630,2000,630,2000,630,2000,630,2000,630,2000,700,1700,,,1
41582631,TINY'S AND THE BAR UPSTAIRS,Manhattan,135,WEST BROADWAY,10013,2123741137,40.71675149,-74.00823202,13,A,2020-03-09,https://s3-media3.fl.yelpcdn.com/bphoto/a7I-xnPhAP-R4GCpZkayOw/o.jpg,https://www.yelp.com/biz/tinys-and-the-bar-upstairs-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1700,2200,1700,2200,1700,2230,1700,2230,1700,2300,1700,2300,1000,1600,1
50065446,POKE BAR,Manhattan,1333,BROADWAY,10018,2122444320,40.7508219,-73.98776113,13,A,2020-02-18,https://s3-media3.fl.yelpcdn.com/bphoto/44EVpJDu2kX5eezHcfiBpw/o.jpg,https://www.yelp.com/biz/pok%C3%A9-bar-new-york-4?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$,1100,2000,1100,2000,1100,2000,1100,2000,1100,2030,1130,2030,1130,1900,1
40365968,NANCY WHISKEY PUB,Manhattan,1,LISPENARD STREET,10013,2122269943,40.72053946,-74.00501092,9,A,2019-05-18,https://s3-media2.fl.yelpcdn.com/bphoto/R-q36lQVo-_wsNb_YJXWCQ/o.jpg,https://www.yelp.com/biz/nancy-whiskey-pub-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$,1100,400,1100,400,1100,400,1100,400,1100,400,1100,400,1200,400,1
50045177,ANNIE MOORES PUB & RESTAURANT,Manhattan,22,EAST   41 STREET,10017,2129867826,40.75233596,-73.98027516,13,A,2022-04-11,https://s3-media2.fl.yelpcdn.com/bphoto/YukwsMfyQcRgxJlBcSifAg/o.jpg,https://www.yelp.com/biz/annie-moores-bar-and-restaurant-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1100,2000,1100,2000,1100,2000,1100,2000,1100,2000,,,,,1
50055374,FLORA BAR,Manhattan,945,MADISON AVENUE,10021,6317038780,40.77345024,-73.96419876,9,A,2020-01-07,https://s3-media2.fl.yelpcdn.com/bphoto/IJrrd5I4e9mSmpUbBB5WKg/o.jpg,https://www.yelp.com/biz/casa-de-flora-bar-bloomfield?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,5.0,,700,1800,700,1800,700,1800,700,2200,700,2200,700,2200,900,1800,1
50071553,NEW LIFE JUICE BAR & LOUNGE,Manhattan,67,SAINT NICHOLAS AVENUE,10026,6466923600,40.8010692,-73.9525389,11,A,2020-02-11,https://s3-media4.fl.yelpcdn.com/bphoto/jxBH7wGHBIRgnAA1arWSfQ/o.jpg,https://www.yelp.com/biz/new-life-juice-bar-and-lounge-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,5.0,,700,2100,700,2100,700,2100,700,2100,700,2100,700,2100,700,1600,1
50099890,MILK BAR,Manhattan,1186,BROADWAY,10001,8653350037,40.74560145,-73.98866072,9,A,2022-05-10,https://s3-media3.fl.yelpcdn.com/bphoto/9OTH_QJTXK0LVuW9vJ5h3Q/o.jpg,https://www.yelp.com/biz/milk-bar-new-york-11?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,900,100,900,100,900,100,900,100,900,100,900,100,900,100,1
40703739,JOSIE WOOD'S PUB,Manhattan,11,WAVERLY PLACE,10003,2122289909,40.73003357,-73.99417293,12,A,2022-01-13,https://s3-media3.fl.yelpcdn.com/bphoto/c3vNN7mJsOW3HcDZWt0AvQ/o.jpg,https://www.yelp.com/biz/josie-woods-pub-new-york-2?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,3.5,$$,1500,200,1500,200,1500,200,1130,200,1130,400,1500,400,1500,0,1
40731158,FISH BAR,Manhattan,237,EAST    5 STREET,10003,6463190293,40.72732696,-73.99028381,12,A,2022-07-20,https://s3-media3.fl.yelpcdn.com/bphoto/ZImTVhhW1ZJVWeq3UyjdNg/o.jpg,https://www.yelp.com/biz/fish-bar-new-york?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$,1700,400,1700,400,1700,400,1600,400,1600,400,1600,400,1700,400,1
50078022,TERRAVITA BAR & KITCHEN,Manhattan,4193,BROADWAY,10033,6463704371,40.84810703,-73.93780857,7,A,2019-06-07,https://s3-media4.fl.yelpcdn.com/bphoto/IjC02spyoaYbcUSmDWkQ6g/o.jpg,https://www.yelp.com/biz/terravita-new-york-3?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.5,$$,1000,2200,1000,2200,1000,2200,1000,2300,1000,2300,1100,2300,1100,2200,1
50117654,LANDSHARK BAR & GRILL,Manhattan,560,7 AVENUE,10018,2122213007,40.75484023,-73.98783258,3,A,2022-06-23,https://s3-media2.fl.yelpcdn.com/bphoto/gp3dk9uMaqmnPaxtWSwVHw/o.jpg,https://www.yelp.com/biz/landshark-bar-and-grill-times-square-new-york-4?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1100,2200,1
50074238,LA CASA DEL MOFONGO AND PIANO BAR,Manhattan,546,WEST  207 STREET,10034,2125448888,40.86597254,-73.92012286,12,A,2019-12-03,https://s3-media2.fl.yelpcdn.com/bphoto/b1o9sM24Dczyn2eQ8GWe4g/o.jpg,https://www.yelp.com/biz/la-casa-del-mofongo-new-york-5?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,2.0,,,,,,,,,,,,,,,,1
40528180,"BOBBY VAN'S , LEA WINE BAR",Manhattan,230,PARK AVENUE,10169,2128675490,40.75450075,-73.97595043,13,A,2019-11-08,https://s3-media1.fl.yelpcdn.com/bphoto/W7AKgNjj-HwRngn3JBI6-Q/o.jpg,https://www.yelp.com/biz/wolfgangs-steakhouse-new-york-4?adjust_creative=pX19ggnfgJJ4FZOQklOuNA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=pX19ggnfgJJ4FZOQklOuNA,4.0,$$$,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1200,2200,1
